"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.09.2025","525.50","533.75","533.75","512.00","310.49K","-1.64%"
"01.08.2025","534.25","542.50","545.25","517.25","1.47M","-1.52%"
"01.07.2025","542.50","537.25","572.75","535.75","1.01M","0.79%"
"01.06.2025","538.25","548.50","594.00","534.75","1.31M","-1.82%"
"01.05.2025","548.25","532.50","570.50","506.25","958.84K","6.87%"
"01.04.2025","513.00","539.00","556.75","505.00","1.24M","-6.81%"
"01.03.2025","550.50","557.50","591.50","530.00","1.12M","2.51%"
"01.02.2025","537.00","555.00","609.00","539.00","1.36M","-6.16%"
"01.01.2025","572.25","563.00","582.75","537.75","569.14K","3.76%"
"01.12.2024","551.50","536.25","559.25","526.50","581.54K","0.64%"
"01.11.2024","548.00","591.25","597.00","543.00","1.30M","-3.94%"
"01.10.2024","570.50","584.00","617.25","557.75","1.57M","-2.31%"
"01.09.2024","584.00","531.50","596.25","530.50","629.29K","5.89%"
"01.08.2024","551.50","551.75","574.75","520.75","1.33M","4.60%"
"01.07.2024","527.25","556.50","573.00","514.25","718.77K","-4.74%"
"01.06.2024","553.50","678.00","697.75","538.00","1.32M","-20.87%"
"01.05.2024","699.50","604.25","739.25","593.50","1.16M","19.57%"
"01.04.2024","585.00","562.00","614.50","534.25","1.10M","1.61%"
"01.03.2024","575.75","575.00","583.50","523.50","995.25K","-0.30%"
"01.02.2024","577.50","595.25","611.50","555.25","1.07M","-4.58%"
"01.01.2024","605.25","640.00","640.00","585.25","424.34K","-3.62%"
"01.12.2023","628.00","569.25","639.75","569.25","386.60K","5.02%"
"01.11.2023","598.00","556.88","599.00","541.00","72.63K","7.51%"
"01.10.2023","556.25","544.30","604.10","541.10","72.02K","2.72%"
"01.09.2023","541.50","574.00","607.50","540.00","543.61K","-10.05%"
"01.08.2023","602.00","668.50","683.90","586.40","64.12K","-9.58%"
"01.07.2023","665.75","646.62","777.12","622.00","104.58K","2.27%"
"01.06.2023","651.00","608.00","770.25","607.00","1.28M","9.55%"
"01.05.2023","594.25","633.80","668.50","573.25","74.48K","-6.23%"
"01.04.2023","633.75","698.38","710.12","624.25","61.85K","-8.45%"
"01.03.2023","692.25","691.25","724.00","654.00","775.26K","-1.88%"
"01.02.2023","705.50","760.70","797.40","702.50","57.46K","-7.32%"
"01.01.2023","761.25","792.00","794.50","712.50","59.64K","-3.88%"
"01.12.2022","792.00","767.50","799.00","702.50","375.77K","-0.44%"
"01.11.2022","795.50","879.50","903.90","771.00","45.18K","-9.83%"
"01.10.2022","882.25","927.50","949.62","822.88","33.95K","-4.26%"
"01.09.2022","921.50","802.75","945.75","773.00","617.46K","10.82%"
"01.08.2022","831.50","814.12","848.50","725.88","28.06K","2.94%"
"01.07.2022","807.75","890.25","940.00","754.25","47.27K","-8.63%"
"01.06.2022","884.00","1,091.00","1,108.62","881.00","42.37K","-18.75%"
"01.05.2022","1,088.00","1,045.25","1,283.60","1,034.25","25.54K","3.05%"
"01.04.2022","1,055.75","1,003.00","1,143.50","982.00","785.79K","4.95%"
"01.03.2022","1,006.00","936.75","1,362.12","932.50","0.15K","8.41%"
"01.02.2022","928.00","762.50","951.25","740.00","1.06M","21.90%"
"01.01.2022","761.25","771.62","831.40","735.75","44.59K","-1.23%"
"01.12.2021","770.75","784.00","824.00","751.00","480.19K","-0.39%"
"01.11.2021","773.75","774.50","863.25","762.50","1.19M","0.13%"
"01.10.2021","772.75","725.00","780.00","712.75","995.02K","6.48%"
"01.09.2021","725.75","723.62","733.10","678.50","","0.24%"
"01.08.2021","724.00","705.25","774.62","704.25","","2.91%"
"01.07.2021","703.50","678.62","717.90","609.60","","3.42%"
"01.06.2021","680.25","673.62","704.00","632.62","","2.43%"
"01.05.2021","664.12","733.25","767.00","639.75","","-9.68%"
"01.04.2021","735.30","622.00","769.40","601.38","","18.84%"
"01.03.2021","618.75","662.12","668.62","593.38","","-6.27%"
"01.02.2021","660.12","657.00","688.38","625.75","","-0.38%"
"01.01.2021","662.62","641.75","693.12","625.75","","3.25%"
"01.12.2020","641.75","579.38","644.38","563.50","","10.46%"
"01.11.2020","581.00","596.75","625.88","579.50","","-2.92%"
"01.10.2020","598.50","575.12","637.62","561.38","","3.53%"
"01.09.2020","578.12","541.88","586.62","533.38","","5.79%"
"01.08.2020","546.50","526.12","551.75","488.12","","2.92%"
"01.07.2020","531.00","490.50","551.62","477.50","","8.20%"
"01.06.2020","490.75","520.25","528.62","468.25","","-5.92%"
"01.05.2020","521.62","522.38","527.75","493.88","","-0.36%"
"01.04.2020","523.50","567.25","571.75","506.88","","-7.79%"
"01.03.2020","567.75","525.25","586.88","492.12","","8.09%"
"01.02.2020","525.25","551.12","570.38","512.62","","-5.08%"
"01.01.2020","553.38","559.50","592.38","545.38","","-1.07%"
"01.12.2019","559.38","542.38","564.62","516.38","","3.18%"
"01.11.2019","542.12","508.50","545.88","498.62","","6.56%"
"01.10.2019","508.75","496.25","534.88","485.38","","2.67%"
"01.09.2019","495.50","461.88","500.88","450.62","","7.40%"
"01.08.2019","461.38","487.00","505.38","456.25","","-5.16%"
"01.07.2019","486.50","530.62","531.38","483.38","","-7.51%"
"01.06.2019","526.00","507.00","557.12","488.12","","4.18%"
"01.05.2019","504.88","427.88","521.62","418.62","","17.69%"
"01.04.2019","429.00","459.12","477.38","426.12","","-6.43%"
"01.03.2019","458.50","458.75","477.88","427.12","","-0.05%"
"01.02.2019","458.75","516.50","531.12","458.12","","-11.18%"
"01.01.2019","516.50","503.12","528.88","501.38","","2.68%"
"01.12.2018","503.00","527.75","538.50","503.00","","-2.42%"
"01.11.2018","515.50","500.75","520.75","495.50","","2.84%"
"01.10.2018","501.25","509.75","527.25","485.50","","-1.81%"
"01.09.2018","510.50","537.75","542.50","495.25","","-6.59%"
"01.08.2018","546.50","554.50","593.00","513.00","","-1.44%"
"01.07.2018","554.50","501.75","565.00","471.25","","10.46%"
"01.06.2018","502.00","524.50","538.75","467.50","","-4.34%"
"01.05.2018","524.75","513.00","554.00","486.25","","2.64%"
"01.04.2018","511.25","454.00","513.00","445.75","","13.17%"
