Fecha de operación; Precio ;;
1/2/2002; S/C ;;
13/2/2002; $ 164,00 ;;
14/2/2002; $ 161,00 ;;
15/2/2002; $ 180,50 ;;
18/2/2002; $ 185,70 ;;
19/2/2002; $ 191,00 ;;
20/2/2002; $ 198,50 ;;
21/2/2002; $ 195,00 ;;
22/2/2002; $ 200,00 ;;
25/2/2002; $ 195,70 ;;
26/2/2002; $ 200,00 ;;
27/2/2002; $ 203,00 ;;
28/2/2002; $ 204,50 ;;
1/3/2002; $ 206,00 ;;
4/3/2002; $ 193,40 ;;
5/3/2002; $ 174,90 ;;
6/3/2002; $ 185,30 ;;
7/3/2002; $ 200,20 ;;
8/3/2002; $ 205,30 ;;
11/3/2002; $ 200,10 ;;
12/3/2002; $ 215,10 ;;
13/3/2002; $ 205,60 ;;
14/3/2002; $ 215,10 ;;
15/3/2002; $ 215,50 ;;
18/3/2002; $ 209,90 ;;
19/3/2002; $ 218,50 ;;
20/3/2002; $ 230,00 ;;
21/3/2002; $ 229,50 ;;
22/3/2002; $ 269,00 ;;
25/3/2002; $ 304,00 ;;
26/3/2002; $ 279,50 ;;
27/3/2002; $ 234,00 ;;
3/4/2002; $ 230,10 ;;
4/4/2002; $ 242,00 ;;
5/4/2002; $ 250,00 ;;
8/4/2002; $ 260,00 ;;
9/4/2002; $ 280,00 ;;
10/4/2002; $ 300,00 ;;
11/4/2002; $ 310,00 ;;
12/4/2002; $ 309,00 ;;
15/4/2002; $ 305,50 ;;
16/4/2002; $ 299,00 ;;
17/4/2002; S/C ;;
18/4/2002; S/C ;;
19/4/2002; S/C ;;
29/4/2002; $ 306,50 ;;
30/4/2002; $ 300,50 ;;
2/5/2002; $ 307,00 ;;
3/5/2002; $ 320,50 ;;
6/5/2002; $ 326,50 ;;
7/5/2002; $ 340,00 ;;
8/5/2002; $ 348,00 ;;
9/5/2002; $ 335,00 ;;
10/5/2002; $ 340,00 ;;
13/5/2002; $ 340,00 ;;
14/5/2002; $ 347,00 ;;
15/5/2002; $ 350,00 ;;
16/5/2002; $ 330,00 ;;
17/5/2002; $ 330,00 ;;
20/5/2002; S/C ;;
21/5/2002; S/C ;;
22/5/2002; S/C ;;
23/5/2002; S/C ;;
24/5/2002; S/C ;;
27/5/2002; S/C ;;
28/5/2002; S/C ;;
29/5/2002; S/C ;;
30/5/2002; S/C ;;
31/5/2002; $ 400,00 ;;
3/6/2002; S/C ;;
4/6/2002; S/C ;;
5/6/2002; S/C ;;
6/6/2002; S/C ;;
7/6/2002; $ 380,00 ;;
10/6/2002; $ 380,00 ;;
11/6/2002; $ 390,00 ;;
12/6/2002; $ 385,30 ;;
13/6/2002; $ 385,00 ;;
14/6/2002; $ 380,00 ;;
18/6/2002; $ 370,00 ;;
19/6/2002; $ 380,00 ;;
20/6/2002; $ 380,00 ;;
21/6/2002; $ 385,00 ;;
24/6/2002; $ 390,00 ;;
25/6/2002; $ 395,00 ;;
26/6/2002; $ 396,00 ;;
27/6/2002; $ 400,00 ;;
28/6/2002; $ 400,00 ;;
1/7/2002; $ 400,00 ;;
2/7/2002; $ 404,00 ;;
3/7/2002; $ 400,00 ;;
4/7/2002; $ 400,00 ;;
5/7/2002; $ 405,00 ;;
8/7/2002; $ 380,00 ;;
10/7/2002; $ 380,00 ;;
11/7/2002; $ 400,00 ;;
12/7/2002; S/C ;;
15/7/2002; S/C ;;
16/7/2002; $ 400,00 ;;
17/7/2002; S/C ;;
18/7/2002; $ 398,00 ;;
19/7/2002; $ 400,00 ;;
22/7/2002; $ 410,00 ;;
23/7/2002; $ 410,00 ;;
24/7/2002; S/C ;;
25/7/2002; $ 410,00 ;;
26/7/2002; $ 410,00 ;;
29/7/2002; $ 420,00 ;;
30/7/2002; S/C ;;
31/7/2002; S/C ;;
1/8/2002; S/C ;;
2/8/2002; S/C ;;
5/8/2002; S/C ;;
6/8/2002; S/C ;;
7/8/2002; S/C ;;
8/8/2002; S/C ;;
9/8/2002; S/C ;;
12/8/2002; S/C ;;
13/8/2002; S/C ;;
14/8/2002; S/C ;;
15/8/2002; $ 420,00 ;;
16/8/2002; S/C ;;
20/8/2002; $ 420,00 ;;
22/8/2002; S/C ;;
23/8/2002; S/C ;;
26/8/2002; S/C ;;
27/8/2002; $ 450,00 ;;
28/8/2002; S/C ;;
29/8/2002; $ 450,00 ;;
30/8/2002; S/C ;;
2/9/2002; S/C ;;
3/9/2002; S/C ;;
4/9/2002; $ 450,00 ;;
5/9/2002; $ 460,00 ;;
6/9/2002; $ 460,00 ;;
9/9/2002; $ 500,00 ;;
10/9/2002; $ 490,00 ;;
11/9/2002; $ 500,00 ;;
12/9/2002; S/C ;;
13/9/2002; S/C ;;
16/9/2002; S/C ;;
17/9/2002; S/C ;;
18/9/2002; S/C ;;
19/9/2002; S/C ;;
20/9/2002; S/C ;;
23/9/2002; S/C ;;
24/9/2002; S/C ;;
25/9/2002; S/C ;;
26/9/2002; S/C ;;
27/9/2002; S/C ;;
30/9/2002; S/C ;;
1/10/2002; S/C ;;
2/10/2002; S/C ;;
3/10/2002; S/C ;;
4/10/2002; S/C ;;
8/10/2002; S/C ;;
9/10/2002; S/C ;;
10/10/2002; S/C ;;
11/10/2002; S/C ;;
15/10/2002; S/C ;;
17/10/2002; $ 430,00 ;;
18/10/2002; $ 430,00 ;;
21/10/2002; $ 431,80 ;;
22/10/2002; $ 430,00 ;;
23/10/2002; $ 430,00 ;;
24/10/2002; $ 430,00 ;;
25/10/2002; $ 420,00 ;;
28/10/2002; $ 420,00 ;;
29/10/2002; $ 420,00 ;;
30/10/2002; $ 420,00 ;;
31/10/2002; $ 420,00 ;;
1/11/2002; $ 420,00 ;;
4/11/2002; $ 400,00 ;;
5/11/2002; $ 400,00 ;;
7/11/2002; $ 380,00 ;;
8/11/2002; S/C ;;
11/11/2002; $ 350,00 ;;
12/11/2002; $ 350,00 ;;
13/11/2002; $ 356,60 ;;
14/11/2002; $ 358,20 ;;
15/11/2002; $ 360,00 ;;
18/11/2002; $ 360,00 ;;
19/11/2002; $ 359,50 ;;
20/11/2002; $ 360,00 ;;
21/11/2002; $ 360,00 ;;
22/11/2002; $ 361,00 ;;
25/11/2002; $ 360,00 ;;
26/11/2002; $ 360,00 ;;
27/11/2002; $ 360,00 ;;
28/11/2002; $ 360,00 ;;
29/11/2002; $ 360,00 ;;
2/12/2002; $ 360,00 ;;
3/12/2002; $ 350,00 ;;
4/12/2002; $ 350,00 ;;
5/12/2002; $ 350,00 ;;
6/12/2002; $ 350,00 ;;
9/12/2002; $ 350,00 ;;
10/12/2002; $ 350,00 ;;
11/12/2002; $ 350,00 ;;
